NAME                         CPUS  MEMORY_GB  ZONE
n2-highmem-8                 8     64.00      us-east1-b
n2-highmem-80                80    640.00     us-east1-b
n2-highmem-96                96    768.00     us-east1-b
n2-standard-128              128   512.00     us-east1-b
n2-standard-16               16    64.00      us-east1-b
n2-standard-2                2     8.00       us-east1-b
n2-standard-32               32    128.00     us-east1-b
n2-standard-4                4     16.00      us-east1-b
n2-standard-48               48    192.00     us-east1-b
n2-standard-64               64    256.00     us-east1-b
n2-standard-8                8     32.00      us-east1-b
n2-standard-80               80    320.00     us-east1-b
n2-standard-96               96    384.00     us-east1-b
n2d-highcpu-128              128   128.00     us-east1-b
n2d-highcpu-16               16    16.00      us-east1-b
n2d-highcpu-2                2     2.00       us-east1-b
n2d-highcpu-224              224   224.00     us-east1-b
n2d-highcpu-32               32    32.00      us-east1-b
n2d-highcpu-4                4     4.00       us-east1-b
n2d-highcpu-48               48    48.00      us-east1-b
n2d-highcpu-64               64    64.00      us-east1-b
n2d-highcpu-8                8     8.00       us-east1-b
n2d-highcpu-80               80    80.00      us-east1-b
n2d-highcpu-96               96    96.00      us-east1-b
n2d-highmem-16               16    128.00     us-east1-b
n2d-highmem-2                2     16.00      us-east1-b
n2d-highmem-32               32    256.00     us-east1-b
n2d-highmem-4                4     32.00      us-east1-b
n2d-highmem-48               48    384.00     us-east1-b
n2d-highmem-64               64    512.00     us-east1-b
n2d-highmem-8                8     64.00      us-east1-b
n2d-highmem-80               80    640.00     us-east1-b
n2d-highmem-96               96    768.00     us-east1-b
n2d-standard-128             128   512.00     us-east1-b
n2d-standard-16              16    64.00      us-east1-b
n2d-standard-2               2     8.00       us-east1-b
n2d-standard-224             224   896.00     us-east1-b
n2d-standard-32              32    128.00     us-east1-b
n2d-standard-4               4     16.00      us-east1-b
n2d-standard-48              48    192.00     us-east1-b
n2d-standard-64              64    256.00     us-east1-b
n2d-standard-8               8     32.00      us-east1-b
n2d-standard-80              80    320.00     us-east1-b
n2d-standard-96              96    384.00     us-east1-b
n4-highcpu-16                16    32.00      us-east1-b
n4-highcpu-2                 2     4.00       us-east1-b
n4-highcpu-32                32    64.00      us-east1-b
n4-highcpu-4                 4     8.00       us-east1-b
n4-highcpu-48                48    96.00      us-east1-b
n4-highcpu-64                64    128.00     us-east1-b
n4-highcpu-8                 8     16.00      us-east1-b
n4-highcpu-80                80    160.00     us-east1-b
n4-highmem-16                16    128.00     us-east1-b
n4-highmem-2                 2     16.00      us-east1-b
n4-highmem-32                32    256.00     us-east1-b
n4-highmem-4                 4     32.00      us-east1-b
n4-highmem-48                48    384.00     us-east1-b
n4-highmem-64                64    512.00     us-east1-b
n4-highmem-8                 8     64.00      us-east1-b
n4-highmem-80                80    640.00     us-east1-b
n4-standard-16               16    64.00      us-east1-b
n4-standard-2                2     8.00       us-east1-b
n4-standard-32               32    128.00     us-east1-b
n4-standard-4                4     16.00      us-east1-b
n4-standard-48               48    192.00     us-east1-b
n4-standard-64               64    256.00     us-east1-b
n4-standard-8                8     32.00      us-east1-b
n4-standard-80               80    320.00     us-east1-b
